Condition,N (scored/run),Refusal %,No-output %,Citations,E1 (out-of-corpus),E2 (invalid page),E3 (format),E4 (unverified quotation),E5 (misattr. quote),Docs cited,Body words,Word metric,Zero-error runs %
Full RRR (A),100/100,0.0,0,40.08 ± 6.5,0 ± 0.0,0 ± 0.0,0.02 ± 0.14,0 ± 0.0,0 ± 0.0,13.45 ± 1.95,1919.47 +/- 261.43,body_only_raw_markdown,98.0
"True RAG baseline (B2): retrieval, single pass",100/100,0.0,0,10.34 ± 3.7,0 ± 0.0,0.01 ± 0.1,0.25 ± 1.62,0.1 ± 0.39,0 ± 0.0,8.43 ± 2.61,703.66 +/- 81.69,body_only_raw_markdown,87.0
"Validation-gate ablation (B): pipeline, validation off",100/100,0.0,0,42.08 ± 7.88,0.04 ± 0.2,0 ± 0.0,0.01 ± 0.1,0.03 ± 0.17,0 ± 0.0,14.68 ± 2.85,2042.93 +/- 364.59,body_only_raw_markdown,92.0
Unrestricted LLM (C),100/100,0,0,10.85 ± 5.61,9.03 ± 4.97,n/a,0 ± 0,n/a,n/a,1.82 ± 2.16,847.68 +/- 112.98,body_only_raw_markdown,7.0
Unrestricted + prohibition prompt (C2),100/100,0,0,14.74 ± 8.69,0.08 ± 0.31,n/a,0 ± 0,n/a,n/a,14.66 ± 8.71,944.29 +/- 174.98,body_only_raw_markdown,93.0
"Full RRR, frontier model (A-api)",—,—,—,—,—,—,—,—,—,—,—,—,—
"Claude Code, Haiku 4.5 (H)",49/50,0.0,2.0,12.1 ± 4.52,2.1 ± 4.04,0.14 ± 0.61,1.94 ± 3.03,1.31 ± 1.53,2.12 ± 2.38,3.78 ± 2.03,1158.78 +/- 183.22,body_only_raw_markdown,6.1
"Claude Code, Sonnet 4.5 (H)",50/50,0.0,0.0,25.02 ± 8.98,0 ± 0.0,0.02 ± 0.14,6.74 ± 5.19,2.32 ± 2.9,2.54 ± 3.16,5.24 ± 1.06,1618.12 +/- 277.64,body_only_raw_markdown,0.0
"Claude Code, Opus 4.8 (H)",51/51,0.0,0.0,23.14 ± 4.81,0 ± 0.0,0 ± 0.0,0.78 ± 1.72,0.94 ± 1.01,2.08 ± 2.71,9.8 ± 1.47,1185.8 +/- 84.07,body_only_raw_markdown,11.8
"Claude Code, unpinned (H, legacy)",—,—,—,—,—,—,—,—,—,—,—,—,—
RRR as a Claude skill (H3),10/10,0.0,0.0,50.4 ± 15.43,0 ± 0.0,0 ± 0.0,0 ± 0.0,0 ± 0.0,0 ± 0.0,17.2 ± 5.01,1775.4 +/- 416.14,body_only_raw_markdown,100.0
